aX,aY,aZ,gX,gY,gZ
-0.347,1.163,1.993,26.123,32.593,-25.696
-0.383,1.106,1.917,14.221,27.466,-17.761
-0.412,1.042,1.875,6.287,22.522,-10.559
-0.454,0.966,1.838,-0.610,17.883,-4.578
-0.494,0.879,1.774,-8.423,13.855,0.610
-0.521,0.796,1.689,-16.846,10.010,4.944
-0.548,0.701,1.598,-24.780,5.737,9.155
-0.580,0.600,1.503,-31.738,2.075,13.977
-0.614,0.522,1.406,-36.560,-0.854,18.677
-0.650,0.451,1.341,-38.391,-3.357,23.132
-0.704,0.358,1.316,-38.269,-5.920,28.809
-0.773,0.252,1.312,-37.170,-9.583,34.363
-0.839,0.157,1.324,-35.889,-13.123,37.170
-0.913,0.069,1.372,-34.912,-16.357,38.269
-1.019,-0.021,1.435,-33.508,-19.470,39.307
-1.126,-0.101,1.497,-32.715,-21.667,38.025
-1.209,-0.155,1.556,-32.715,-23.743,32.654
-1.278,-0.217,1.616,-32.776,-26.428,25.146
-1.342,-0.260,1.666,-33.325,-29.602,16.968
-1.451,-0.326,1.731,-34.912,-34.119,9.155
-1.628,-0.450,1.830,-33.813,-40.100,3.418
-1.825,-0.581,1.935,-29.663,-50.537,-4.089
-1.991,-0.690,1.993,-27.283,-68.604,-18.250
-2.066,-0.780,1.967,-31.738,-91.553,-39.307
-2.010,-0.827,1.824,-42.908,-114.929,-64.270
-1.844,-0.793,1.612,-56.335,-133.789,-90.515
-1.668,-0.762,1.420,-68.542,-145.508,-116.150
-1.523,-0.749,1.240,-79.651,-147.217,-135.925
-1.407,-0.751,1.086,-89.539,-140.259,-152.344
-1.280,-0.737,0.969,-94.727,-133.057,-167.358
-1.091,-0.714,0.847,-92.224,-135.803,-181.824
-0.871,-0.660,0.686,-83.374,-151.489,-194.519
-0.681,-0.623,0.480,-70.435,-175.354,-203.552
-0.523,-0.616,0.278,-56.335,-197.083,-213.562
-0.321,-0.572,0.096,-44.556,-209.534,-228.271
-0.069,-0.495,-0.078,-38.635,-210.327,-245.056
0.229,-0.408,-0.228,-37.964,-194.702,-259.033
0.643,-0.248,-0.349,-35.767,-164.429,-270.020
1.170,-0.014,-0.429,-23.254,-132.385,-280.212
1.665,0.350,-0.415,4.150,-106.750,-282.715
2.069,0.750,-0.312,41.138,-87.585,-268.372
2.452,1.094,-0.085,78.491,-67.261,-237.549
2.646,1.315,0.246,104.004,-42.969,-191.040
2.539,1.381,0.544,107.544,-25.452,-131.226
2.296,1.328,0.690,91.187,-22.217,-71.167
1.942,1.212,0.716,70.007,-23.743,-23.804
1.560,1.131,0.692,51.270,-18.921,5.066
1.263,1.080,0.663,36.499,-9.583,18.616
1.049,1.054,0.651,25.696,-1.831,24.414
0.850,1.018,0.644,19.165,2.502,33.691
0.612,0.944,0.639,16.174,2.869,47.913
0.356,0.844,0.636,15.625,0.793,60.791
0.120,0.742,0.653,15.381,0.977,67.444
-0.084,0.651,0.685,13.916,6.104,68.909
-0.241,0.593,0.723,10.986,13.245,66.711
-0.322,0.559,0.784,9.094,19.226,61.279
-0.348,0.551,0.879,7.385,22.278,54.260
-0.338,0.559,0.971,3.418,23.315,48.584
-0.283,0.574,1.043,-3.540,23.315,44.495
-0.244,0.601,1.090,-12.268,22.339,42.603
-0.238,0.624,1.083,-23.560,19.714,43.091
-0.252,0.637,1.024,-35.767,16.541,45.227
-0.279,0.654,0.937,-45.532,14.465,48.157
-0.287,0.670,0.864,-50.049,13.916,50.415
-0.287,0.694,0.824,-50.537,14.221,51.270
-0.301,0.734,0.792,-49.316,15.076,52.368
-0.304,0.763,0.771,-47.302,16.663,53.833
-0.314,0.788,0.777,-43.396,17.517,56.396
-0.323,0.802,0.793,-39.429,16.479,59.509
