aX,aY,aZ,gX,gY,gZ
1.902,-2.464,-3.949,-99.365,176.697,-47.913
1.726,-2.054,-3.498,-20.752,117.310,40.527
1.619,-1.166,-2.691,38.391,13.733,118.713
1.211,-0.439,-1.851,26.184,-71.594,127.136
0.718,0.151,-1.166,-15.625,-133.179,108.276
0.392,0.743,-0.626,-49.377,-170.471,94.360
0.142,1.168,-0.369,-70.374,-175.842,80.750
0.144,1.409,-0.223,-70.313,-162.292,65.674
0.370,1.337,-0.281,-53.467,-133.789,42.908
0.636,1.174,-0.400,-32.166,-111.450,26.489
0.839,0.899,-0.532,-9.399,-103.882,17.639
0.952,0.658,-0.680,13.367,-104.309,13.184
1.012,0.479,-0.835,37.598,-108.032,11.536
1.037,0.326,-0.971,66.956,-115.784,11.353
1.010,0.160,-1.032,99.060,-125.977,11.780
0.976,0.005,-1.008,128.296,-137.146,12.695
0.947,-0.128,-0.939,149.963,-147.705,16.357
0.894,-0.204,-0.855,162.598,-157.532,22.827
0.842,-0.259,-0.763,168.701,-165.405,30.090
0.810,-0.313,-0.658,172.180,-170.959,38.147
0.792,-0.353,-0.557,171.021,-176.331,46.143
0.766,-0.370,-0.472,162.781,-184.570,53.772
0.734,-0.371,-0.401,148.804,-195.251,60.669
0.677,-0.327,-0.345,131.714,-207.642,66.467
0.582,-0.236,-0.330,114.990,-219.971,71.899
0.483,-0.143,-0.323,106.140,-229.004,78.064
0.398,-0.072,-0.291,107.239,-232.056,86.243
0.308,-0.018,-0.239,116.882,-231.079,96.191
0.222,0.032,-0.155,130.920,-229.004,105.408
0.150,0.043,-0.048,145.142,-227.112,112.000
0.090,0.007,0.091,155.457,-224.915,117.126
0.021,-0.043,0.240,158.081,-220.459,121.704
-0.007,-0.076,0.364,149.414,-213.867,122.803
0.010,-0.046,0.413,128.479,-211.731,118.103
-0.018,0.124,0.385,97.351,-222.778,108.337
-0.185,0.398,0.378,72.266,-249.695,97.229
-0.422,0.667,0.464,75.562,-280.701,90.942
-0.606,0.786,0.688,115.601,-296.082,94.055
-0.766,0.669,1.057,180.969,-284.180,109.375
-0.824,0.410,1.411,245.361,-243.652,131.714
-0.772,0.157,1.657,283.691,-185.852,153.809
-0.691,0.015,1.735,287.598,-128.479,163.940
-0.587,-0.024,1.658,262.146,-88.501,153.259
-0.456,-0.031,1.546,217.163,-74.646,122.070
-0.255,-0.110,1.454,153.931,-89.172,77.637
-0.139,-0.111,1.352,74.951,-126.160,31.006
-0.175,0.074,1.220,-6.470,-166.748,-5.859
-0.317,0.347,1.120,-58.350,-198.303,-25.208
-0.467,0.600,1.085,-57.983,-213.684,-23.926
-0.606,0.714,1.197,-8.484,-203.552,-3.784
-0.728,0.623,1.398,71.655,-169.678,30.334
-0.734,0.425,1.622,149.231,-124.390,67.139
-0.646,0.214,1.846,197.327,-78.064,94.360
-0.558,0.062,1.973,205.811,-40.100,102.295
-0.466,-0.027,1.980,179.016,-18.311,90.759
-0.368,-0.054,1.910,127.930,-15.076,63.965
-0.265,-0.031,1.766,62.439,-25.879,28.687
-0.175,0.005,1.617,-3.906,-46.082,-5.981
-0.137,0.133,1.460,-58.289,-65.369,-32.471
-0.156,0.324,1.310,-86.121,-75.378,-42.419
-0.182,0.458,1.195,-77.698,-72.388,-37.415
