aX,aY,aZ,gX,gY,gZ
-0.550,0.586,0.693,-3.235,15.442,28.992
-0.557,0.571,0.714,-8.362,18.616,29.846
-0.586,0.576,0.702,-15.320,21.729,32.837
-0.606,0.552,0.673,-18.616,25.757,31.982
-0.634,0.540,0.651,-17.517,26.428,28.015
-0.651,0.531,0.636,-14.526,19.043,25.146
-0.647,0.515,0.618,-10.132,7.996,23.315
-0.651,0.519,0.599,-4.883,-0.977,24.536
-0.658,0.518,0.589,-0.305,-4.089,27.344
-0.671,0.516,0.570,1.587,-3.418,28.748
-0.668,0.497,0.560,0.488,1.587,27.710
-0.652,0.502,0.571,-3.235,7.935,25.208
-0.649,0.522,0.572,-8.728,11.597,25.269
-0.653,0.514,0.568,-12.390,15.259,26.306
-0.671,0.509,0.546,-14.343,18.616,27.588
-0.701,0.506,0.536,-13.184,18.311,28.015
-0.716,0.505,0.525,-10.071,13.855,26.428
-0.714,0.510,0.505,-6.470,8.362,24.658
-0.708,0.508,0.490,-2.625,4.272,24.353
-0.701,0.500,0.491,0.854,2.319,24.536
-0.697,0.497,0.505,3.235,3.235,25.024
-0.705,0.490,0.530,4.395,6.409,25.330
-0.712,0.494,0.546,4.456,10.498,25.208
-0.703,0.513,0.555,3.784,13.916,24.780
-0.698,0.530,0.577,3.906,15.625,24.597
-0.697,0.553,0.596,5.066,14.587,24.902
-0.685,0.585,0.596,5.554,12.085,24.841
-0.673,0.620,0.593,6.409,9.705,25.269
-0.666,0.652,0.586,6.165,7.874,26.672
-0.659,0.670,0.575,5.432,7.935,28.870
-0.658,0.679,0.573,5.005,9.766,31.921
-0.662,0.680,0.584,4.639,10.620,35.828
-0.664,0.660,0.608,5.127,10.559,40.100
-0.667,0.628,0.628,5.981,9.216,44.128
-0.668,0.588,0.642,6.226,6.592,47.424
-0.658,0.540,0.649,6.042,3.479,49.805
-0.631,0.500,0.651,5.859,-0.916,51.147
-0.620,0.447,0.655,7.202,-6.775,51.453
-0.624,0.387,0.663,10.315,-13.245,51.208
-0.603,0.335,0.663,13.794,-20.325,50.415
-0.579,0.279,0.666,17.334,-27.588,49.683
-0.566,0.222,0.662,19.714,-33.142,50.415
-0.557,0.156,0.652,20.447,-36.072,51.392
-0.539,0.073,0.639,19.531,-36.865,50.720
-0.528,-0.042,0.623,16.907,-35.034,48.767
-0.518,-0.188,0.588,12.207,-31.616,46.204
-0.517,-0.332,0.524,7.874,-28.076,42.908
-0.536,-0.482,0.451,5.676,-25.024,37.903
-0.564,-0.632,0.378,7.263,-22.522,30.762
-0.587,-0.724,0.296,14.893,-21.667,20.325
-0.553,-0.778,0.217,27.222,-23.132,6.470
-0.491,-0.825,0.160,40.771,-26.184,-6.714
-0.499,-0.859,0.098,55.176,-27.832,-16.846
-0.496,-0.899,0.096,72.815,-20.020,-24.902
-0.492,-0.917,0.136,90.698,-7.202,-33.752
-0.471,-0.923,0.194,104.614,7.324,-44.556
-0.444,-0.908,0.229,113.403,21.301,-56.580
-0.414,-0.882,0.228,117.676,32.227,-68.481
-0.382,-0.864,0.215,121.277,41.077,-79.712
-0.362,-0.829,0.187,124.268,49.255,-90.942
-0.322,-0.791,0.140,128.357,58.655,-103.333
-0.249,-0.725,0.074,135.803,68.359,-116.150
-0.134,-0.628,0.052,148.621,78.186,-127.563
-0.035,-0.521,0.080,164.856,88.257,-134.644
0.063,-0.417,0.132,181.519,99.304,-137.512
0.196,-0.298,0.237,197.937,111.389,-139.282
0.311,-0.173,0.403,214.600,123.901,-140.564
0.431,-0.017,0.617,227.112,134.705,-139.526
0.519,0.132,0.873,234.070,138.916,-134.949
0.547,0.292,1.095,234.680,136.597,-127.197
0.505,0.516,1.273,228.149,133.728,-118.408
0.426,0.740,1.456,216.919,132.996,-108.398
0.359,0.918,1.617,202.332,133.484,-96.252
0.364,1.092,1.786,185.303,137.268,-86.365
0.395,1.234,1.999,169.922,142.212,-76.843
0.416,1.322,2.250,157.043,142.700,-62.683
0.463,1.387,2.465,143.005,134.521,-46.326
0.514,1.510,2.664,126.709,121.521,-29.358
0.463,1.594,2.789,108.215,104.248,-9.705
0.223,1.678,2.582,46.997,72.693,27.527
0.165,1.734,2.341,13.245,70.557,37.537
0.156,1.772,2.137,-11.780,72.998,48.340
0.227,1.791,1.988,-29.297,75.195,60.730
0.300,1.757,1.885,-39.795,74.951,77.820
0.351,1.664,1.834,-44.617,69.641,100.342
0.312,1.483,1.844,-45.349,59.875,125.732
0.178,1.207,1.893,-45.166,50.049,150.940
0.073,0.966,1.927,-50.842,42.969,169.861
0.015,0.753,1.893,-65.125,33.203,181.335
0.026,0.507,1.805,-83.862,23.499,189.148
0.011,0.260,1.675,-102.295,20.386,199.219
-0.047,-0.019,1.559,-118.164,21.240,210.449
-0.237,-0.316,1.466,-127.075,24.475,221.497
-0.473,-0.582,1.473,-125.427,33.875,229.553
-0.695,-0.775,1.521,-117.615,42.603,229.370
-0.858,-0.932,1.612,-104.736,44.434,220.947
-0.977,-1.034,1.723,-87.769,34.912,208.984
-1.056,-1.126,1.859,-69.397,14.099,195.312
-1.098,-1.204,1.971,-54.749,-14.771,179.626
-1.131,-1.311,2.041,-45.898,-46.997,162.537
-1.169,-1.419,2.046,-43.457,-75.623,143.921
-1.174,-1.495,1.990,-47.485,-95.032,123.047
-1.133,-1.561,1.875,-54.810,-106.750,99.731
