aX,aY,aZ,gX,gY,gZ
-0.381,-0.629,-0.439,-101.929,-4.944,-153.809
-0.477,-0.707,-0.431,-72.021,10.010,-137.329
-0.587,-0.765,-0.434,-49.927,19.714,-123.169
-0.634,-0.808,-0.427,-35.461,23.315,-112.854
-0.661,-0.816,-0.408,-28.564,27.100,-105.103
-0.632,-0.855,-0.415,-27.588,33.386,-97.229
-0.634,-0.903,-0.416,-30.579,41.443,-91.736
-0.622,-0.925,-0.398,-35.095,52.002,-92.407
-0.612,-0.857,-0.353,-39.856,62.622,-98.877
-0.587,-0.759,-0.290,-42.786,68.542,-105.286
-0.572,-0.641,-0.233,-41.809,70.007,-102.051
-0.618,-0.529,-0.230,-35.095,67.322,-88.318
-0.757,-0.498,-0.243,-22.705,58.533,-68.726
-0.895,-0.547,-0.240,-9.155,48.157,-48.218
-0.955,-0.660,-0.228,0.305,41.016,-29.053
-0.954,-0.763,-0.221,3.601,34.546,-13.855
-0.877,-0.863,-0.231,-3.174,26.611,-5.493
-0.777,-1.006,-0.269,-16.846,16.113,-4.028
-0.741,-1.096,-0.317,-33.081,8.728,-8.606
-0.732,-1.139,-0.342,-51.331,6.042,-19.287
-0.730,-1.134,-0.320,-68.542,8.301,-30.579
-0.711,-1.090,-0.275,-80.200,13.733,-35.583
-0.689,-1.050,-0.212,-85.510,17.578,-34.424
-0.666,-1.031,-0.149,-86.121,17.456,-30.212
-0.635,-1.014,-0.098,-82.764,14.038,-25.146
-0.599,-1.009,-0.056,-77.026,7.996,-21.790
-0.570,-0.994,-0.017,-70.313,0.854,-20.752
-0.555,-0.963,0.024,-64.087,-6.775,-20.996
-0.538,-0.961,0.047,-58.472,-13.672,-20.508
-0.793,-1.007,-0.820,437.622,195.984,284.302
-0.781,-1.071,-0.768,469.543,207.214,272.095
-0.746,-1.071,-0.669,482.178,208.374,256.714
-0.647,-0.974,-0.577,474.182,196.045,241.821
-0.566,-0.821,-0.491,446.838,169.067,232.544
-0.525,-0.689,-0.442,404.480,130.310,234.131
-0.482,-0.620,-0.396,353.638,88.806,244.324
-0.401,-0.617,-0.441,302.551,48.340,252.869
-0.357,-0.566,-0.527,257.507,11.658,252.563
-0.349,-0.553,-0.607,220.337,-16.052,246.033
-0.327,-0.593,-0.699,190.735,-31.921,236.511
-0.282,-0.670,-0.819,172.424,-36.133,220.276
-0.233,-0.643,-0.894,162.048,-29.175,194.397
-0.155,-0.504,-0.861,155.396,-12.146,163.452
-0.033,-0.336,-0.778,144.714,4.883,138.733
0.064,-0.195,-0.674,128.906,14.771,129.639
0.092,-0.062,-0.627,116.150,13.550,135.681
0.139,0.029,-0.614,113.892,4.761,149.536
0.223,0.009,-0.627,123.779,-7.874,165.649
0.359,-0.102,-0.680,142.273,-19.165,175.903
0.559,-0.194,-0.732,164.062,-27.466,169.861
0.695,-0.278,-0.817,180.359,-33.630,151.611
0.798,-0.249,-0.869,183.105,-35.706,126.892
0.937,-0.157,-0.886,166.199,-31.921,105.225
1.015,-0.112,-0.934,131.592,-27.710,96.558
1.031,-0.068,-0.997,92.224,-23.865,98.450
0.971,-0.006,-1.003,62.927,-17.151,100.952
0.977,0.038,-0.922,51.392,-8.301,104.065
1.060,0.084,-0.817,59.143,-0.977,108.032
1.116,0.076,-0.718,79.224,-2.441,111.816
1.128,-0.023,-0.698,98.083,-12.939,117.371
1.109,-0.128,-0.713,112.122,-23.437,115.723
1.130,-0.113,-0.777,121.460,-29.968,100.647
1.140,-0.123,-0.925,120.850,-30.701,84.717
1.114,-0.126,-1.076,102.722,-19.836,77.881
1.067,-0.180,-1.140,71.655,0.244,80.505
1.065,-0.234,-1.040,42.419,26.306,83.679
1.327,-0.163,-0.773,34.607,43.335,82.458
1.071,-0.355,-0.615,41.260,28.381,85.510
1.028,-0.529,-0.611,49.438,8.728,72.693
1.100,-0.597,-0.616,48.645,-5.554,57.617
0.947,-0.627,-0.661,34.546,-20.813,46.875
0.789,-0.532,-0.789,16.907,-28.809,33.081
0.628,-0.385,-0.965,11.719,-23.376,17.151
0.523,-0.291,-1.078,21.545,-4.333,2.319
0.615,-0.204,-1.076,35.706,21.729,-10.193
0.573,-0.108,-0.996,43.274,39.856,-15.198
0.505,-0.100,-0.874,40.771,47.668,-20.020
0.478,-0.058,-0.752,27.893,48.828,-28.748
0.483,0.053,-0.593,7.874,43.274,-36.438
0.398,0.160,-0.504,-12.085,28.198,-37.109
0.333,0.213,-0.495,-24.475,7.080,-34.485
0.317,0.244,-0.552,-28.076,-14.954,-30.029
0.295,0.224,-0.680,-28.259,-32.349,-24.963
0.310,0.171,-0.770,-26.550,-39.856,-23.560
0.347,0.130,-0.835,-27.893,-39.368,-26.611
0.373,0.097,-0.865,-34.912,-33.997,-29.236
0.432,0.028,-0.828,-43.457,-27.527,-32.959
0.491,-0.019,-0.791,-51.636,-22.522,-38.574
0.552,-0.052,-0.762,-58.533,-19.165,-44.373
0.617,-0.099,-0.740,-62.622,-19.287,-52.063
0.685,-0.131,-0.742,-64.941,-22.705,-60.852
